#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Steady-state Random Waypoint Model
# numNodes = 30
# maxX = 1000.00
# maxY = 500.00
# endTime = 200.00
# speedMean = 1.0000
# speedDelta = 0.5000
# pauseMean = 0.00
# pauseDelta = 0.00
# output = N
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# output format is NS2
# Initial positions:
$ns_ at 173.202551893527 "$node_(20) setdest 508.727356562730 325.609420810644
1.166178797216"
$ns_ at 178.932777437676 "$node_(6) setdest 113.676609058714 426.616670995307
0.000000000000"
$ns_ at 178.932777437676 "$node_(6) setdest 914.293215104515 94.561847669334
1.465007578006"
$ns_ at 187.509499694718 "$node_(15) setdest 606.701148490748 453.372526892169
0.000000000000"
$ns_ at 187.509499694718 "$node_(15) setdest 29.587678625056 54.494423584311
0.793457984130"
